"LearnDirectClassSystemCode","LearnDirectClassSystemCodeDesc","LearnDirectClassSystemCodeDesc2","EffectiveFrom","EffectiveTo"
"TF.","Construction Management","Const Mngm","26 Mar 2001",""
"TF.1","Construction Management (General)","Const Mngm (Gen)","26 Mar 2001",""
"TF.12","Construction Quality Control","Const Qlty Cont","26 Mar 2001",""
"TF.13","Construction Project Management","Const Proj Mngm","26 Mar 2001",""
"TF.14","Utilities Management","Utils Mngm","24 Jan 2005",""
"TF.2","Contracting / Subcontracting (Construction)","Cntrct/ Subcntrct (Const)","26 Mar 2001",""
"TF.3","Construction Site Management","Const Site Mngm","26 Mar 2001",""
"TF.31","Construction Site Supervision","Const Site Sprvsn","26 Mar 2001",""
"TF.32","Construction Site Security","Const Site Sec","26 Mar 2001",""
"TF.33","Clerks Of Works (Building / Construction)","Clerks Of Wrks (Bldg/ Const)","26 Mar 2001",""
"TF.4","Building Law and Regulations","Bldg Law & Regulations","26 Mar 2001",""
"TF.41","Cdm Regulations","Cdm Regulations","26 Mar 2001",""
"TF.5","Building Inspection","Bldg Insp","26 Mar 2001",""
"TG.","Building / Construction Operations","Bldg/ Const Ops","26 Mar 2001",""
"TG.2","Brickwork / Masonry","Brickwrk/ Masonry","26 Mar 2001",""
"TG.21","Bricklaying","Bricklay","26 Mar 2001",""
"TG.22","Concrete Work","Concrete Wrk","26 Mar 2001",""
"TG.23","Formwork","Formwrk","26 Mar 2001",""
"TG.24","Shuttering","Shuttering","26 Mar 2001",""
"TG.25","Paths / Pavement Surfacing","Paths/ Pavement Surfacing","26 Mar 2001",""
"TG.26","Stone Masonry","Stone Masonry","26 Mar 2001",""
"TG.27","Brickwork / Masonry For Amateurs (DIY)","Brickwrk/ Masonry For Am (DIY)","26 Mar 2001",""
"TG.3","Glazing (Buildings)","Glazing (Bldgs)","26 Mar 2001",""
"TG.31","Double Glazing","Double Glazing","26 Mar 2001",""
"TG.32","Leaded Lights Glazing","Leaded Lights Glazing","26 Mar 2001",""
"TG.33","Replacement Window Fixing","Replacement Window Fixing","26 Mar 2001",""
"TG.34","Plastic / Polycarbonate Glazing Work","Plastic/ Plycarb Glazing Wrk","26 Mar 2001",""
"TG.4","Floor / Wall Tiling","Floor/ Wall Tiling","26 Mar 2001",""
"TG.5","Building Insulation","Bldg Insulation","26 Mar 2001",""
"TG.6","Roof Surfacing","Roof Surfacing","26 Mar 2001",""
"TG.7","Construction Carpentry / Shopfitting / Erection","Const Carp/ Shpft/ Erection","26 Mar 2001",""
"TG.71","Construction Carpentry","Const Carp","26 Mar 2001",""
"TG.72","Shopfitting","Shpft","26 Mar 2001",""
"TG.74","Hoarding Erection","Hoarding Erection","26 Mar 2001",""
"TG.75","Portable Building Erection","Portable Bldg Erection","26 Mar 2001",""
"TG.76","Marquee Erection","Marquee Erection","26 Mar 2001",""
"TG.77","Sign Fixing","Sign Fixing","26 Mar 2001",""
"TG.8","Painting and Decorating","Painting & Decorating","26 Mar 2001",""
"TG.82","Painting and Decorating (DIY)","Painting & Decorating (DIY)","26 Mar 2001",""
"TG.83","Paperhanging","Paperhanging","26 Mar 2001",""
"TG.84","Painting Interiors","Painting Ints","26 Mar 2001",""
"TG.85","Painting Exteriors","Painting Exteriors","26 Mar 2001",""
"TG.86","Decorative Paintwork","Dcrtv Paintwrk","26 Mar 2001",""
"TG.861","Graining / Marbling","Graining/ Marbling","26 Mar 2001",""
"TG.862","Stencilling (House Painting)","Stencilling (House Painting)","26 Mar 2001",""
"TG.87","Plastering","Plastering","26 Mar 2001",""
"TG.871","Plastering Decorative","Plastering Dcrtv","26 Mar 2001",""
"TG.872","Ceiling Work Decorative","Ceiling Wrk Dcrtv","26 Mar 2001",""
"TG.873","Ceiling Fixing","Ceiling Fixing","26 Mar 2001",""
"TG.9","Fencing (Construction)","Fencing (Const)","26 Mar 2001",""
"TH.","Building Maintenance / Services","Bldg Maint/ Svc","26 Mar 2001",""
"TH.1","Building Services","Bldg Svc","26 Mar 2001",""
"TH.11","Energy Efficiency (Buildings)","Energy Efficiency (Bldgs)","26 Mar 2001",""
"TH.12","Building Services Engineering","Bldg Svc Engnr","26 Mar 2001",""
"TH.2","Building Electrical Work","Bldg Elec Wrk","26 Mar 2001",""
"TH.21","Building Electrical Work (DIY)","Bldg Elec Wrk (DIY)","26 Mar 2001",""
"TH.22","Electrical Installation (Buildings / Construction)","Elec Instal (Bldgs/ Const)","26 Mar 2001",""
"TH.23","Electrical Maintenance (Buildings)","Elec Maint (Bldgs)","26 Mar 2001",""
"TH.24","Emergency Lighting / Power Supply","Emrgn Lght/ Pwr Supply","26 Mar 2001",""
"TH.25","Lighting (Building Work)","Lght (Bldg Wrk)","26 Mar 2001",""
"TH.251","Street Lighting","St Lght","26 Mar 2001",""
"TH.3","Plumbing (Building Work)","Plumbing (Bldg Wrk)","26 Mar 2001",""
"TH.31","Plumbing (Professional)","Plumbing (Prof)","26 Mar 2001",""
"TH.32","Plumbing (DIY)","Plumbing (DIY)","26 Mar 2001",""
"TH.33","Plumbing Installation Work","Plumbing Instal Wrk","26 Mar 2001",""
"TH.34","Drainage (Building Work)","Drain (Bldg Wrk)","26 Mar 2001",""
"TH.35","Water Supply (Building Work)","Water Supply (Bldg Wrk)","26 Mar 2001",""
"TH.37","Lead Work (Plumbing)","Lead Wrk (Plumbing)","26 Mar 2001",""
"TH.4","Heating Installation (Building Work)","Heat Instal (Bldg Wrk)","26 Mar 2001",""
"TH.41","Heating Appliance Installation / Servicing","Heat App Instal/ Svcg","26 Mar 2001",""
"TH.42","Boiler Installation / Servicing","Boiler Instal/ Svcg","26 Mar 2001",""
"TH.43","Central Heating Installation / Servicing","Cent Heat Instal/ Svcg","26 Mar 2001",""
"TH.45","Oil Fuelled Equipment Installation / Servicing","Oil Fuelled Eq Instal/ Svcg","26 Mar 2001",""
"TH.46","Gas-Fired Equipment Installation / Servicing","Gas-Fired Eq Instal/ Svcg","26 Mar 2001",""
"TH.47","Solid Fuelled Equipment Installation / Servicing","Solid Fuelled Eq Instal/ Svcg","26 Mar 2001",""
"TH.5","Gas Supply / Installation (Building Work)","Gas Supply/ Instal (Bldg Wrk)","26 Mar 2001",""
"TH.51","Gas Supply Work","Gas Supply Wrk","26 Mar 2001",""
"TH.52","Gas Plumbing Work","Gas Plumbing Wrk","26 Mar 2001",""
"TH.53","Gas Maintenance Work","Gas Maint Wrk","26 Mar 2001",""
"TH.6","Ventilation (Building Work)","Vent (Bldg Wrk)","26 Mar 2001",""
"TH.7","Air Conditioning (Building Work)","Air Con (Bldg Wrk)","26 Mar 2001",""
"TH.8","Security Systems (Building Work)","Sec Sys (Bldg Wrk)","26 Mar 2001",""
"TH.81","Alarms Installation","Alarms Instal","26 Mar 2001",""
"TH.9","Building Maintenance / Caretaking","Bldg Maint/ Crtaking","26 Mar 2001",""
"TH.91","Building Maintenance","Bldg Maint","26 Mar 2001",""
"TH.911","Diy Building Maintenance","Diy Bldg Maint","26 Mar 2001",""
"TH.913","Historic Property Maintenance","Historic Prop Maint","26 Mar 2001",""
"TH.92","Caretaking (Building Control)","Crtaking (Bldg Cont)","26 Mar 2001",""
"TH.93","Cleaning Services (Buildings)","Cleaning Svc (Bldgs)","26 Mar 2001",""
"TH.94","Chimney Maintenance / Sweeping","Chimney Maint/ Sweeping","26 Mar 2001",""
"TH.96","Architectural Stonework Maintenance / Cleaning","Arch Stonewrk Maint/ Cleaning","26 Mar 2001",""
"TH.97","Timber / Impregnation / Treatment / Preservation","Timber/ Impregnation/ Treat/ Pres","26 Mar 2001",""
"TJ.","Interior Fitting / Decoration","Int Fitting/ Décor","26 Mar 2001",""
"TJ.3","Kitchen Design/Planning","Kitchen Des/ Plan","24 Jan 2005",""
"TJ.4","Fitted Furniture Installation","Fitted Furn Instal","26 Mar 2001",""
"TJ.5","Floorcoverings Planning / Fitting","Floorcoverings Plan/ Fitting","26 Mar 2001",""
"TK.","Construction Site Work","Const Site Wrk","26 Mar 2001",""
"TK.1","Construction Machinery / Plant Operation / Maintenance","Const Mach/ Plant Op/ Maint","26 Mar 2001",""
"TK.11","Crane Operation (Construction)","Crane Op (Const)","26 Mar 2001",""
"TK.111","Slinger / Banksman (Construction)","Slinger/ Bnksm (Const)","26 Mar 2001",""
"TK.12","Construction Plant Maintenance","Const Plant Maint","26 Mar 2001",""
"TK.13","Construction Plant (Stationary) Operation","Const Plant (Stationary) Op","26 Mar 2001",""
"TK.131","Drilling (Construction)","Drilling (Const)","26 Mar 2001",""
"TK.132","Pile Driving (Construction)","Pile Drv (Const)","26 Mar 2001",""
"TK.14","Construction Plant (Mobile) Operation","Const Plant (Mob) Op","26 Mar 2001",""
"TK.141","Track Laying Vehicles Driving","Track Lay Vehs Drv","26 Mar 2001",""
"TK.2","Scaffolding / Access Work","Scaffolding/ Acc Wrk","26 Mar 2001",""
"TK.21","Steeplejack Work","Steeplejack Wrk","26 Mar 2001",""
"TK.3","Setting Out Site Work","Setting Out Site Wrk","26 Mar 2001",""
"TK.4","Groundwork (Construction)","Groundwrk (Const)","26 Mar 2001",""
"TK.41","Compacting Site Work","Compacting Site Wrk","26 Mar 2001",""
"TK.42","Levelling Site Work","Levling Site Wrk","26 Mar 2001",""
"TK.43","Foundation Site Work","Fnd Site Wrk","26 Mar 2001",""
"TK.44","Excavation Site Work","Excavation Site Wrk","26 Mar 2001",""
"TK.5","Structural Work","Struc Wrk","26 Mar 2001",""
"TK.51","Structural Steelwork","Struc Steelwrk","26 Mar 2001",""
"TK.6","Demolition Work","Demolition Wrk","26 Mar 2001",""
"TK.7","Roadwork","Roadwrk","26 Mar 2001",""
"TK.71","Asphalting (Roadwork)","Asphalting (Roadwrk)","26 Mar 2001",""
"TK.72","Road Surfacing","Road Surfacing","26 Mar 2001",""
"TL.","Civil Engineering","Civil Engnr","26 Mar 2001",""
"TL.1","Civil Engineering (General)","Civil Engnr (Gen)","26 Mar 2001",""
"TL.11","Civil Engineering Administration","Civil Engnr Admin","26 Mar 2001",""
"TL.111","Civil Engineering Law","Civil Engnr Law","26 Mar 2001",""
"TL.12","Clerk Of Works (Civil Engineering)","Clerk Of Wrks (Civil Engnr)","26 Mar 2001",""
"TL.2","Municipal Engineering","Municipal Engnr","26 Mar 2001",""
"TL.21","Rural Engineering","Rural Engnr","26 Mar 2001",""
"TL.22","Urban Engineering","Urban Engnr","26 Mar 2001",""
"TL.23","Environmental Engineering","Enval Engnr","26 Mar 2001",""
"TL.3","Water Engineering","Water Engnr","26 Mar 2001",""
"TL.32","Water Management","Water Mngm","26 Mar 2001",""
"TL.33","Water Supply / Irrigation Engineering","Water Supply/ Irrig Engnr","26 Mar 2001",""
"TL.331","Water Supply Engineering","Water Supply Engnr","26 Mar 2001",""
"TL.332","Irrigation Engineering","Irrig Engnr","26 Mar 2001",""
"TL.34","Coastal / River Engineering","Coastal/ River Engnr","26 Mar 2001",""
"TL.341","Coastal Engineering","Coastal Engnr","26 Mar 2001",""
"TL.342","River Engineering","River Engnr","26 Mar 2001",""
"TL.344","Dredging / Channel Maintenance","Dredging/ Channel Maint","26 Mar 2001",""
"TL.35","Land Drainage Engineering","Land Drain Engnr","26 Mar 2001",""
"TL.36","Marine Civil Engineering","Marine Civil Engnr","26 Mar 2001",""
"TL.4","Public Health Engineering","Pub Hlth Engnr","26 Mar 2001",""
"TL.41","Drainage (Wastewater) Engineering","Drain (Wastewater) Engnr","26 Mar 2001",""
"TL.42","Sewage Treatment","Sewage Treat","26 Mar 2001",""
"TL.43","Water Treatment","Water Treat","26 Mar 2001",""
"TL.5","Transport Engineering","Trns Engnr","26 Mar 2001",""
"TL.51","Highway Engineering","Highway Engnr","26 Mar 2001",""
"TL.511","Highway Maintenance Engineering","Highway Maint Engnr","26 Mar 2001",""
"TL.52","Traffic Engineering","Traffic Engnr","26 Mar 2001",""
"TL.53","Bridge Engineering","Bridge Engnr","26 Mar 2001",""
"TL.6","Excavation Engineering","Excavation Engnr","26 Mar 2001",""
"TL.63","Geotechnical Engineering","Geotech Engnr","26 Mar 2001",""
"TL.631","Marine Geotechnics","Marine Geotechnics","26 Mar 2001",""
"TL.632","Soil Mechanics","Soil Mechanics","26 Mar 2001",""
"TL.633","Subsidence Engineering","Subsidence Engnr","26 Mar 2001",""
"TL.64","Explosives (Civil Engineering)","Explosives (Civil Engnr)","26 Mar 2001",""
"TM.","Structural Engineering","Struc Engnr","26 Mar 2001",""
"TM.2","Architectural Engineering","Arch Engnr","26 Mar 2001",""
"TM.3","Foundation Engineering","Fnd Engnr","26 Mar 2001",""
"TM.4","Structural Design (Construction)","Struc Des (Const)","26 Mar 2001",""
"TM.5","Structural Materials Engineering","Struc Mat Engnr","26 Mar 2001",""
"UUUU","Unknown","Unknown","26 Mar 2001",""
"V","Services To Industry and Commerce","Svc To Ind & Comm","26 Mar 2001",""
"VD.","Quality and Reliability Management","Qlty & Rel Mngm","26 Mar 2001",""
"VD.1","Quality Management","Qlty Mngm","26 Mar 2001",""
"VD.12","Quality Standard (Bs5750) (Iso9000) Implementation","Qlty Stnd (Bs5750) (Iso9000) Implmnt","26 Mar 2001",""
"VD.13","Total Quality Management","Total Qlty Mngm","26 Mar 2001",""
"VD.15","Taguchi Methods","Taguchi Mth","26 Mar 2001",""
"VD.16","Performance Measurement","Perf Measurement","26 Mar 2001",""
"VD.17","Kaizen","Kaizen","26 Mar 2001",""
"VD.2","Reliability / Quality Engineering","Rel/ Qlty Engnr","26 Mar 2001",""
"VD.22","Value Engineering","Value Engnr","26 Mar 2001",""
"VD.3","Quality Assurance","Qlty Assurance","26 Mar 2001",""
"VD.32","Quality Control","Qlty Cont","26 Mar 2001",""
"VD.321","Statistical Quality Control / Improvement","Stat Qlty Cont/ Improvement","26 Mar 2001",""
"VD.33","Quality Auditing","Qlty Auditing","26 Mar 2001",""
"VD.6","Standards / Specifications","Stnds/ Specs","26 Mar 2001",""
"VE.","Industrial Control / Monitoring","Ind Cont/ Mntr","26 Mar 2001",""
"VE.1","Production Control / Automation (General)","Prod Cont/ Auto (Gen)","26 Mar 2001",""
"VE.12","Control Engineering (General)","Cont Engnr (Gen)","26 Mar 2001",""
"VE.13","Process Control","Proc Cont","26 Mar 2001",""
"VE.2","Control Systems (Production)","Cont Sys (Prod)","26 Mar 2001",""
"VE.21","Automatic Control Instrumentation","Automatic Cont Inst","26 Mar 2001",""
"VE.211","Electronic Control Systems","Elec Cont Sys","26 Mar 2001",""
"VE.212","Programmable Controllers","Programmable Contlers","26 Mar 2001",""
"VE.22","Computer Control Systems (Production)","Comp Cont Sys (Prod)","26 Mar 2001",""
"VE.23","Mechanical Control Systems","Mech Cont Sys","26 Mar 2001",""
"VE.24","Statistical Process Control","Stat Proc Cont","26 Mar 2001",""
"VE.3","Monitoring (Production)","Mntr (Prod)","26 Mar 2001",""
"VE.4","Automated Manufacturing Systems","Automated Manuf Sys","26 Mar 2001",""
"VE.41","Industrial Cybernetics","Ind Cybernetics","26 Mar 2001",""
"VE.42","Industrial Robotics","Ind Robotics","26 Mar 2001",""
"VE.44","Computer Integrated Manufacture (Cim)","Comp Intgd Manuf (Cim)","26 Mar 2001",""
"VE.45","Computer Aided Manufacture (Cam)","Comp Aided Manuf (Cam)","26 Mar 2001",""
"VE.46","Advanced Manufacturing Systems / Technology","Adv Manuf Sys/ Tech","26 Mar 2001",""
"VE.47","Computer Aided Engineering","Comp Aided Engnr","26 Mar 2001",""
"VE.5","Fault Finding / Trouble Shooting (Production)","Fault Fnd/ Trbl Shoot (Prod)","26 Mar 2001",""
"VE.51","Failure Analysis","Fail Anlys","26 Mar 2001",""
"VF.","Industrial Design / Research and Development","Ind Des/ Res & Dev","26 Mar 2001",""
"VF.1","Industrial Design (General)","Ind Des (Gen)","26 Mar 2001",""
"VF.12","Computer Aided Design (Cad)","Comp Aided Des (Cad)","26 Mar 2001",""
"VF.13","Design Technology","Des Tech","26 Mar 2001",""
"VF.2","Product Design","Prod Des","26 Mar 2001",""
"VF.22","Design For Assembly","Des For Ass","26 Mar 2001",""
"VF.24","Ergonomics","Ergonomics","26 Mar 2001",""
"VF.26","Environment Friendly Design","Env Friendly Des","26 Mar 2001",""
"VF.3","Engineering Design","Engnr Des","26 Mar 2001",""
"VF.31","Mechanical Engineering Design","Mech Engnr Des","26 Mar 2001",""
"VF.33","Process Design","Proc Des","26 Mar 2001",""
"VF.4","Industrial Research and Development","Ind Res & Dev","26 Mar 2001",""
"VF.41","Development Engineering","Dev Engnr","26 Mar 2001",""
"VF.43","Product Development (Randd)","Prod Dev (Randd)","26 Mar 2001",""
"VF.44","Prototyping","Prototyping","26 Mar 2001",""
"VF.5","Industrial Model Making","Ind Model Making","26 Mar 2001",""
"VF.6","Technical / Engineering Drawing","Tech/ Engnr Drawing","26 Mar 2001",""
"VF.62","Draughting","Draughting","26 Mar 2001",""
"VF.7","Patenting (Industrial)","Patenting (Ind)","26 Mar 2001",""
"VG.","Engineering Services","Engnr Svc","26 Mar 2001",""
"VG.2","Plant / Machinery / Terotechnology","Plant/ Mach/ Terotech","26 Mar 2001",""
"VG.21","Maintenance Engineering","Maint Engnr","26 Mar 2001",""
"VG.25","Plant / Machinery (Industrial) Installation / Maintenance","Plant/ Mach (Ind) Instal/ Maint","26 Mar 2001",""
"VG.26","Plant / Machinery Servicing","Plant/ Mach Svcg","26 Mar 2001",""
"VG.3","Plant Engineering","Plant Engnr","26 Mar 2001",""
"VG.31","Foundry Engineering","Foundry Engnr","26 Mar 2001",""
"VH.","Facilities Management","Fac Mngm","26 Mar 2001",""
"VJ.","Contracting (Business / Industry)","Cntrct (Bus/ Ind)","26 Mar 2001",""
"VJ.2","Tendering","Tender","26 Mar 2001",""
"VJ.3","Contract Management (Business / Industry)","Contract Mngm (Bus/ Ind)","26 Mar 2001",""
"W","Manufacturing / Production Work","Manuf/ Prod Wrk","26 Mar 2001",""
"WA.","Manufacturing (General)","Manuf (Gen)","26 Mar 2001",""
"WA.1","Manufacturing Administration","Manuf Admin","26 Mar 2001",""
"WA.2","Manufacturing Technology","Manuf Tech","26 Mar 2001",""
"WA.3","Industrial Engineering","Ind Engnr","26 Mar 2001",""
"WA.4","Process Engineering","Proc Engnr","26 Mar 2001",""
"WA.5","Production Engineering","Prod Engnr","26 Mar 2001",""
"WA.6","Manufacturing Engineering","Manuf Engnr","26 Mar 2001",""
"WA.61","Manufacturing Mechanical Engineering","Manuf Mech Engnr","26 Mar 2001",""
"WB.","Manufacturing / Assembly","Manuf/ Ass","26 Mar 2001",""
"WB.1","Production Process Work","Prod Proc Wrk","26 Mar 2001",""
"WB.2","Assembly Work","Ass Wrk","26 Mar 2001",""
"WB.21","Electrical / Electronic Goods Manufacture / Assembly","Elec/ Elec Gds Manuf/ Ass","26 Mar 2001",""
"WB.22","Metal Goods Manufacture / Assembly","Metal Gds Manuf/ Ass","26 Mar 2001",""
"WB.23","Plastic Goods Manufacture / Assembly","Plastic Gds Manuf/ Ass","26 Mar 2001",""
"WB.3","Finishing (Production)","Finishing (Prod)","26 Mar 2001",""
"WB.31","Surface Finishing","Surface Finishing","26 Mar 2001",""
"WB.32","Paint Application (Industrial)","Paint App (Ind)","26 Mar 2001",""
"WB.4","Packing (Industrial)","Packing (Ind)","26 Mar 2001",""
"WC.","Instrument Making / Repair","Inst Making/ Repair","26 Mar 2001",""
"WC.4","Scientific / Medical Instrument Making","Sci/ Medic Inst Making","26 Mar 2001",""
"WC.5","Clock / Watch Making and Repair","Clock/ Watch Making & Repair","26 Mar 2001",""
"WC.6","Locksmith Work","Locksmith Wrk","26 Mar 2001",""
"WD.","Testing Measurement and Inspection","Testing Measurement & Insp","26 Mar 2001",""
"WD.1","Testing (Industrial) (General)","Testing (Ind) (Gen)","26 Mar 2001",""
"WD.2","Non Destructive Testing","Non Destructive Testing","26 Mar 2001",""
"WD.21","Industrial Radiography","Ind Radiogrphy","26 Mar 2001",""
"WD.22","Dye Penetrant Techniques","Dye Penetrant Tech","26 Mar 2001",""
"WD.23","Magnetic Particle Inspection","Magnetic Particle Insp","26 Mar 2001",""
"WD.24","Ultrasonic Inspection","Ultrasonic Insp","26 Mar 2001",""
"WD.4","Quality and Reliability Testing","Qlty & Rel Testing","26 Mar 2001",""
"WD.5","Measurement / Metrology","Measurement/ Metrology","26 Mar 2001",""
"WD.51","Metrology","Metrology","26 Mar 2001",""
"WD.52","Calibration","Calibration","26 Mar 2001",""
"WD.55","Stress Analysis (Measurement)","Stress Anlys (Measurement)","26 Mar 2001",""
"WD.6","Electronic / Electric Instrumentation (General)","Elec/ Elec Inst (Gen)","26 Mar 2001",""
"WD.7","Inspection (Industrial)","Insp (Ind)","26 Mar 2001",""
"WE.","Chemical Products","Chemprods","26 Mar 2001",""
"WE.1","Industrial Chemicals","Ind Chem","26 Mar 2001",""
"WE.2","Pharmaceuticals Production","Pharmaceuticals Prod","26 Mar 2001",""
"WE.3","Toiletries / Cosmetics Production","Toiletries/ Cosmetics Prod","26 Mar 2001",""
"WE.31","Essential Oils / Perfumery Production","Essential Oils/ Perfumery Prod","26 Mar 2001",""
"WE.4","Explosives Technology","Explosives Tech","26 Mar 2001",""
"WE.5","Colour / Coatings Technology","Colour/ Coats Tech","26 Mar 2001",""
"WF.","Glass / Ceramics / Concretes Manufacture","Glass/ Ceramics/ Cnc Manuf","26 Mar 2001",""
"WF.1","Ceramics Technology","Ceramics Tech","26 Mar 2001",""
"WF.11","Ceramic Materials","Ceramic Mat","26 Mar 2001",""
"WF.13","Ceramics Production (Industrial)","Ceramics Prod (Ind)","26 Mar 2001",""
"WF.15","Porcelain","Porcelain","26 Mar 2001",""
"WF.2","Glass Technology","Glass Tech","26 Mar 2001",""
"WF.21","Glass Materials","Glass Mat","26 Mar 2001",""
"WF.22","Glass Production (Industrial)","Glass Prod (Ind)","26 Mar 2001",""
"WF.23","Glass Making (Hand)","Glass Making (Hand)","26 Mar 2001",""
"WF.24","Glass Design","Glass Des","26 Mar 2001",""
"WF.3","Concrete / Cement Technology","Concrete/ Cement Tech","26 Mar 2001",""
"WG.","Polymer Processing","Polymer Prcss","26 Mar 2001",""
"WG.1","Compounding (Polymers)","Compounding (Polymers)","26 Mar 2001",""
"WG.2","Moulding / Extrusion (Polymers)","Moulding/ Extrusion (Polymers)","26 Mar 2001",""
"WG.6","Reinforced Systems Processing","Reinforced Sys Prcss","26 Mar 2001",""
"WG.7","Polymer Products","Polymer Prods","26 Mar 2001",""
"WH.","Textiles / Fabrics (Industrial)","Text/ Fabrics (Ind)","26 Mar 2001",""
"WH.1","Fabric Production","Fabric Prod","26 Mar 2001",""
"WH.12","Textile Production Processes","Textile Prod Proc","26 Mar 2001",""
"WH.13","Fabric Finishing Processes","Fabric Finishing Proc","26 Mar 2001",""
"WH.3","Textile / Clothing Technology","Textile/ Cloth Tech","26 Mar 2001",""
"WH.32","Textile Engineering","Textile Engnr","26 Mar 2001",""
"WH.4","Fabric Making-Up","Fabric Making-Up","26 Mar 2001",""
"WH.41","Industrial Sewing","Ind Sewing","26 Mar 2001",""
"WH.42","Clothes Manufacture (Industrial)","Clothes Manuf (Ind)","26 Mar 2001",""
"WH.6","Floorcoverings","Floorcoverings","26 Mar 2001",""
"WH.61","Floorcoverings Design","Floorcoverings Des","26 Mar 2001",""
"WJ.","Leather Footwear and Fur","Leather Footwear & Fur","26 Mar 2001",""
"WJ.1","Leather Preparation / Technology","Leather Prep/ Tech","26 Mar 2001",""
"WJ.2","Leather Goods Manufacture","Leather Gds Manuf","26 Mar 2001",""
"WJ.22","Leather / Suede Clothing","Leather/ Suede Cloth","26 Mar 2001",""
"WJ.3","Saddlery","Saddlery","26 Mar 2001",""
"WJ.4","Footwear Manufacture","Footwear Manuf","26 Mar 2001",""
"WJ.5","Furriery","Furriery","26 Mar 2001",""
"WK.","Woodworking / Furniture Manufacture","Woodwrk/ Furn Manuf","26 Mar 2001",""
"WK.1","Woodworking / Carpentry (General)","Woodwrk/ Carp (Gen)","26 Mar 2001",""
"WK.11","Woodworking / Carpentry (DIY)","Woodwrk/ Carp (DIY)","26 Mar 2001",""
"WK.2","Woodworking","Woodwrk","26 Mar 2001",""
"WK.21","Wood Turning","Wood Turning","26 Mar 2001",""
"WK.22","Machine Woodworking","Mach Woodwrk","26 Mar 2001",""
"WK.23","Joinery","Joinery","26 Mar 2001",""
"WK.24","Carpentry","Carp","26 Mar 2001",""
"WK.25","Cabinet Making","Cabinet Making","26 Mar 2001",""
"WK.3","Wood Finishing","Wood Finishing","26 Mar 2001",""
"WK.31","Wood Polishing","Wood Polishing","26 Mar 2001",""
"WK.311","French Polishing","French Polishing","26 Mar 2001",""
"WK.32","Wood Staining","Wood Staining","26 Mar 2001",""
"WK.6","Furniture Manufacture (Industrial)","Furn Manuf (Ind)","26 Mar 2001",""
"WK.61","Cane Furniture Making","Cane Furn Making","26 Mar 2001",""
"WK.8","Upholstery (Industrial)","Upholstery (Ind)","26 Mar 2001",""
"WL.","Paper Manufacture","Paper Manuf","26 Mar 2001",""
"WL.1","Paper Technology","Paper Tech","26 Mar 2001",""
"WL.2","Paper Conversion","Paper Conversion","26 Mar 2001",""
"WL.21","Photographic Paper / Film Making","Photo Paper/ Film Making","26 Mar 2001",""
"WL.3","Packaging Manufacture","Pack Manuf","26 Mar 2001",""
"WL.31","Packaging Design","Pack Des","26 Mar 2001",""
"WL.32","Packaging Materials","Pack Mat","26 Mar 2001",""
"WL.34","Carton Manufacture","Carton Manuf","26 Mar 2001",""
"WM.","Food / Drink / Tobacco (Industrial)","Food/ Drink/ Tobacco (Ind)","26 Mar 2001",""
"WM.1","Food Manufacture / Processing (Industrial)","Food Manuf/ Prcss (Ind)","26 Mar 2001",""
"WM.11","Food Quality Control","Food Qlty Cont","26 Mar 2001",""
"WM.12","Food Process Engineering","Food Proc Engnr","26 Mar 2001",""
"WM.2","Food Storage / Preservation (Industrial)","Food Strg/ Pres (Ind)","26 Mar 2001",""
"WM.26","Food Packaging","Food Pack","26 Mar 2001",""
"WM.3","Drinks Processing (Industrial)","Drinks Prcss (Ind)","26 Mar 2001",""
"WM.32","Alcoholic Drinks Processing","Alcoholic Drinks Prcss","26 Mar 2001",""
"WM.321","Brewery Work","Brewery Wrk","26 Mar 2001",""
"WM.322","Distillery Work","Distillery Wrk","26 Mar 2001",""
"WM.324","Wine Making (Industrial)","Wine Making (Ind)","26 Mar 2001",""
"WM.4","Grain / Flour / Bakery / Confectionery (Industrial)","Grain/ Flour/ Bakery/ Confect (Ind)","26 Mar 2001",""
"WM.5","Dairy Foods Processing (Industrial)","Dairy Foods Prcss (Ind)","26 Mar 2001",""
"WM.6","Meat / Fish Processing (Industrial)","Meat/ Fish Prcss (Ind)","26 Mar 2001",""
"WM.7","Fruit / Vegetable Processing (Industrial)","Fruit/ Veg Prcss (Ind)","26 Mar 2001",""
"WM.9","Tobacco Processing","Tobacco Prcss","26 Mar 2001",""
"X","Engineering","Engnr","26 Mar 2001",""
"XA.","Engineering / Technology","Engnr/ Tech","26 Mar 2001",""
"XA.1","Engineering Studies","Engnr Stud","26 Mar 2001",""
"XA.13","Engineering Management","Engnr Mngm","26 Mar 2001",""
"XA.14","Engineering Craft Studies","Engnr Craft Stud","26 Mar 2001",""
"XA.15","Engineering Technician Studies","Engnr Tech Stud","26 Mar 2001",""
"XA.3","Technology","Tech","26 Mar 2001",""
"XA.31","Craft Design and Technology","Craft Des & Tech","26 Mar 2001",""
"XA.32","Technology Management","Tech Mngm","26 Mar 2001",""
"XA.33","Technology Analysis","Tech Anlys","26 Mar 2001",""
"XA.34","Nanotechnology","Nanotech","11 Dec 2006",""
"XA.5","Engineering Materials","Engnr Mat","26 Mar 2001",""
"XD.","Metals Working / Finishing","Metals Wrk/ Finishing","26 Mar 2001",""
