"LearnAimRef","AreaCode","EffectiveFrom","EffectiveTo","MaxLoanAmount","SubsidyPercent","SubsidyRate","Created_On","Created_By","Modified_On","Modified_By"
"60054979","LEEDSCITY","01 Aug 2018","31 Jul 2019","3345.00000","0.25000","836.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60054979","WMIDS","01 Aug 2018","31 Jul 2019","3345.00000","1.00000","3345.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60054992","GTRLINC","01 Aug 2018","31 Jul 2019","3345.00000","0.75000","2509.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60054992","LEEDSCITY","01 Aug 2018","31 Jul 2019","3345.00000","0.25000","836.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60054992","WMIDS","01 Aug 2018","31 Jul 2019","3345.00000","1.00000","3345.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60059643","HEARTSW","01 Aug 2018","31 Jul 2019","1987.00000","1.00000","1987.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60059643","LEEDSCITY","01 Aug 2018","31 Jul 2019","1987.00000","1.00000","1987.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60061789","GTRLINC","01 Aug 2018","31 Jul 2019","4670.00000","0.25000","1168.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60062745","GTRLINC","01 Aug 2018","31 Jul 2019","941.00000","1.00000","941.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60079952","GTRLINC","01 Aug 2018","31 Jul 2019","3345.00000","1.00000","3345.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60080838","LEEDSCITY","01 Aug 2018","31 Jul 2019","3345.00000","0.25000","836.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60080838","WMIDS","01 Aug 2018","31 Jul 2019","3345.00000","1.00000","3345.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60082483","GTRLINC","01 Aug 2018","31 Jul 2019","1265.00000","1.00000","1265.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60093316","GTRLINC","01 Aug 2018","31 Jul 2019","3345.00000","0.75000","2509.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60093316","HEARTSW","01 Aug 2018","31 Jul 2019","3345.00000","0.75000","2509.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60093316","LEEDSCITY","01 Aug 2018","31 Jul 2019","3345.00000","0.25000","836.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60093316","STOKESTAFFS","01 Aug 2018","31 Jul 2019","3345.00000","0.25000","836.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60102536","HEARTSW","01 Aug 2018","31 Jul 2019","1417.00000","0.75000","1063.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60111951","GTRLINC","01 Aug 2018","31 Jul 2019","724.00000","0.25000","181.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60111951","HEARTSW","01 Aug 2018","31 Jul 2019","724.00000","1.00000","724.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60112384","HEARTSW","01 Aug 2018","31 Jul 2019","1417.00000","0.75000","1063.00000","01 Oct 2018","FISHERK","01 Oct 2018","FISHERK"
"60114861","WMIDS","01 Aug 2018","31 Jul 2019","3345.00000","1.00000","3345.00000","10 May 2019","KFISHER","10 May 2019","KFISHER"
"60131391","STOKESTAFFS","01 Aug 2018","31 Jul 2019","5421.00000","0.25000","1355.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"6013141X","GTRLINC","01 Aug 2018","31 Jul 2019","1645.00000","1.00000","1645.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"60132541","LEEDSCITY","01 Aug 2018","31 Jul 2019","1265.00000","1.00000","1265.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"6013396X","LEEDSCITY","01 Aug 2018","31 Jul 2019","2573.00000","1.00000","2573.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
"6013401X","STOKESTAFFS","01 Aug 2018","31 Jul 2019","2573.00000","0.75000","1930.00000","18 May 2018","KFISHER","18 May 2018","KFISHER"
