"AwardOrgCode","AwardOrgUKPRN","AwardOrgName","AwardOrgShortName","AwardOrgAcronym","AwardOrgNonExtant","AwardOrgNotes","AwardOrgHigherEducationInstitution","EffectiveFrom","EffectiveTo"
"NIM","10004746","Northern Institute of Massage","","NIM","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"NJIC","90000615","NJIC","","","N","","N","26 Mar 2001",""
"NOCN","10022697","National Open College Network","","NOCN","N","","N","26 Mar 2001",""
"NONE","","Generic award - no awarding body","Generic","","N","","N","26 Mar 2001",""
"NOTTU","10007154","University of Nottingham (The)","University of Nottingham","NOTTU","N","","Y","01 Apr 2018",""
"NPORS","10004523","National Plant Operators Registration Scheme","National Plant Ops Reg Scheme","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"NPTA","90000546","National Pest Technicians Association","","","N","","N","26 Mar 2001",""
"NPTC","10022699","City and Guilds Land Based Services (Formerly NPTC)","","","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"NSBRA","90000611","National Small Bore Rifle Association","","NSRA","N","","N","26 Mar 2001",""
"NT","90000617","Nederlandse Taalunie","NT","NT","N","","N","26 Mar 2001",""
"NTU","10004797","Nottingham Trent University","","","N","","Y","26 Mar 2001",""
"OAL","10052758","Occupational Awards Limited","","","N","","N","01 Aug 2015",""
"OBU","10004930","Oxford Brookes University","Oxford Brookes Uni","OBU","N","","Y","26 Mar 2001",""
"OCNCREDI","10023456","OCN Credit4Learning (Formerly Open College Network Oxford, Thames & Chiltern)","","","N","EZ 0607AU: VT: Mod","N","21 Jul 2005",""
"OCNEMR","","Open College Network East Midlands Region","","OCNEMR","Y","","N","26 Mar 2001","31 Jul 2015"
"OCNER","10019564","Open College Network Eastern Region","","OCNER","","","","26 Mar 2001",""
"OCNLR","10036648","Open College Network London Region","Open College Network London","OCNLR","N","","N","01 Aug 2005",""
"OCNNER","10028803","Open College Network North East Region (formerly TROCN/NEOCN)","","OCNNER","N","","","26 Mar 2001",""
"OCNNI","0","OCN Northern Ireland","","","N","","N","01 Aug 2015",""
"OCNNWR","","Open College Network North West Region","","OCNNWR","Y","See OPENAWRD award organisation code","N","01 Oct 2007","31 Jul 2015"
"OCNOTC","","Open College Network Oxford, Thames & Chiltern","OCN Oxford, Thames & Chiltern","OCN OTC","Y","See OCNCREDI award organisation code","N","21 Jul 2005","31 Jul 2015"
"OCNSER","10033170","Open College Network South East Region","","OCNSER","N","","N","01 Oct 2007",""
"OCNSWR","10033054","Open College Network South West Region","","OCNSWR","N","","N","01 Jan 2006","31 Jul 2015"
"OCNWM","10033858","Open College Network West Midlands Region","West Midlands OCN","OCNWM","","EZ 0607AU: VT: Mod","","26 Mar 2001",""
"OCNYHR","","Open College Network (Yorkshire and Humber Region)","","","Y","See CERTA award organisation code","N","26 Mar 2001","30 Sep 2015"
"OCR","10022701","Oxford Cambridge & RSA Examinations","","OCR","N","","N","26 Mar 2001",""
"OFQUAL","90000612","Ofqual","","","N","","N","01 Jan 2008",""
"OFTEC","90000528","Oil Firing Technical Association","","OFTEC","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"ONEAWARDS","10028803","One Awards (Formerly Open College Network North East Region)","","","N","","N","26 Mar 2001",""
